"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"V4BHLIQZ","webpage","2025","Ravid, Barak","U.S. enters Israel's war against Iran","Axios","","","","https://www.axios.com/2025/06/21/us-strike-iran-nuclear-israel-trump","Trump's direct intervention marks a historic escalation in the Middle East.","2025-06-22","2025-06-24 10:04:00","2025-06-24 10:04:00","2025-06-24 10:04:00","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\ttft3\Zotero\storage\3X3ZSXV3\us-strike-iran-nuclear-israel-trump.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K97B8U9T","journalArticle","2014","Zhang, Yitang","Bounded gaps between primes","Annals of Mathematics","","0003-486X","10.4007/annals.2014.179.3.7","https://annals.math.princeton.edu/2014/179-3/p07","","2014-05-01","2025-06-24 09:26:41","2025-06-24 09:26:41","2025-06-24 09:26:41","1121-1174","","3","179","","Ann. Math.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\ttft3\Zotero\storage\USPHBBLQ\Zhang - 2014 - Bounded gaps between primes.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GKW4FUEH","conferencePaper","2003","Ghemawat, Sanjay; Gobioff, Howard; Leung, Shun-Tak","The Google file system","Proceedings of the nineteenth ACM symposium on Operating systems principles","978-1-58113-757-6","","10.1145/945445.945450","https://dl.acm.org/doi/10.1145/945445.945450","","2003-10-19","2025-06-24 09:24:08","2025-06-24 09:24:08","2025-06-24 09:24:08","29-43","","","","","","","","","","","ACM","Bolton Landing NY USA","en","","","","","DOI.org (Crossref)","","","","C:\Users\ttft3\Zotero\storage\UUGDSN2U\Ghemawat 等 - 2003 - The Google file system.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOSP03: ACM Symposium on Operating Systems Principles","","","","","","","","","","","","","","",""
"UBWD9JPU","conferencePaper","2005","Wang, Xiaoyun; Yu, Hongbo","How to Break MD5 and Other Hash Functions","Advances in Cryptology – EUROCRYPT 2005","978-3-540-32055-5","","10.1007/11426639_2","","MD5 is one of the most widely used cryptographic hash functions nowadays. It was designed in 1992 as an improvement of MD4, and its security was widely studied since then by several authors. The best known result so far was a semi free-start collision, in which the initial value of the hash function is replaced by a non-standard value, which is the result of the attack. In this paper we present a new powerful attack on MD5 which allows us to find collisions efficiently. We used this attack to find collisions of MD5 in about 15 minutes up to an hour computation time. The attack is a differential attack, which unlike most differential attacks, does not use the exclusive-or as a measure of difference, but instead uses modular integer subtraction as the measure. We call this kind of differential a modular differential. An application of this attack to MD4 can find a collision in less than a fraction of a second. This attack is also applicable to other hash functions, such as RIPEMD and HAVAL.","2005","2025-06-24 09:11:01","2025-06-24 09:11:01","","19-35","","","","","","","","","","","Springer","Berlin, Heidelberg","en","","","","","Springer Link","","","","C:\Users\ttft3\Zotero\storage\HMEDC5IU\Wang和Yu - 2005 - How to Break MD5 and Other Hash Functions.pdf","","","Block Cipher; Differential Attack; Fast Software Encryption; Hash Function; Message Block","Cramer, Ronald","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95PLEMTM","webpage","","","贷款创造存款理论的源起、发展与应用 - 中国知网","","","","","https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4TrM1IymsJCPbDZc7eDf8CPnoGO9F_kJq2gy4vYe6erSfA2moldo2IGFgW9kA15kvAFgEUmJle7lT5u8RADCEouFFAQjZAP5Kq2GoTmmxPigtPpNnVRuUaN__XFZsGC-u0=&uniplatform=NZKPT&flag=copy","","","2025-06-24 09:10:25","2025-06-24 09:10:25","2025-06-24 09:10:25","","","","","","","","","","","","","","","","","","","","","","","C:\Users\ttft3\Zotero\storage\UIQEPTJV\abstract.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZCF5V2A4","journalArticle","2008","Chang, Fay; Dean, Jeffrey; Ghemawat, Sanjay; Hsieh, Wilson C.; Wallach, Deborah A.; Burrows, Mike; Chandra, Tushar; Fikes, Andrew; Gruber, Robert E.","Bigtable: A Distributed Storage System for Structured Data","ACM Transactions on Computer Systems","","0734-2071, 1557-7333","10.1145/1365815.1365816","https://dl.acm.org/doi/10.1145/1365815.1365816","Bigtable is a distributed storage system for managing structured data that is designed to scale to a very large size: petabytes of data across thousands of commodity servers. Many projects at Google store data in Bigtable, including web indexing, Google Earth, and Google Finance. These applications place very different demands on Bigtable, both in terms of data size (from URLs to web pages to satellite imagery) and latency requirements (from backend bulk processing to real-time data serving). Despite these varied demands, Bigtable has successfully provided a ﬂexible, high-performance solution for all of these Google products. In this paper we describe the simple data model provided by Bigtable, which gives clients dynamic control over data layout and format, and we describe the design and implementation of Bigtable.","2008-06","2025-06-24 09:04:58","2025-06-24 09:04:58","2025-06-24 09:04:58","1-26","","2","26","","ACM Trans. Comput. Syst.","Bigtable","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\ttft3\Zotero\storage\MPG4PNDA\Chang 等 - 2008 - Bigtable A Distributed Storage System for Structured Data.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P9L6UZ7L","journalArticle","2008","Dean, Jeffrey; Ghemawat, Sanjay","MapReduce: simplified data processing on large clusters","Communications of the ACM","","0001-0782, 1557-7317","10.1145/1327452.1327492","https://dl.acm.org/doi/10.1145/1327452.1327492","MapReduce is a programming model and an associated implementation for processing and generating large data sets. Users specify a map function that processes a key/value pair to generate a set of intermediate key/value pairs, and a reduce function that merges all intermediate values associated with the same intermediate key. Many real world tasks are expressible in this model, as shown in the paper.","2008-01","2025-06-24 09:03:43","2025-06-24 09:03:43","2025-06-24 09:03:43","107-113","","1","51","","Commun. ACM","MapReduce","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\ttft3\Zotero\storage\SV7HTT3A\Dean和Ghemawat - 2008 - MapReduce simplified data processing on large clusters.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R77VYY35","webpage","","","现代汉语副词“就”字的功能视角研究 - 中国知网","","","","","https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RL38Voe20h0DTIYIDMKRljv3fXTTx8Gpw4TsS3FT2F0z9L3FtSFFpHvhah6Ch3OlsV5c2OlDj0R6jZGeFSoKAaMkJQ_h8uSLE-AM4aErcSm-qCvYt-GaShBv9k6dyKwUg&uniplatform=NZKPT&flag=copy&captchaId=8ec0e100-0855-4ac8-8260-f12be83e335d","","","2025-06-24 08:59:06","2025-06-24 08:59:06","2025-06-24 08:59:06","","","","","","","","","","","","","","","","","","","","","","","C:\Users\ttft3\Zotero\storage\CM78GC5L\abstract.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7KC9SPEZ","journalArticle","","Nakamoto, Satoshi","Bitcoin: A Peer-to-Peer Electronic Cash System","","","","","","A purely peer-to-peer version of electronic cash would allow online payments to be sent directly from one party to another without going through a financial institution. Digital signatures provide part of the solution, but the main benefits are lost if a trusted third party is still required to prevent double-spending. We propose a solution to the double-spending problem using a peer-to-peer network. The network timestamps transactions by hashing them into an ongoing chain of hash-based proof-of-work, forming a record that cannot be changed without redoing the proof-of-work. The longest chain not only serves as proof of the sequence of events witnessed, but proof that it came from the largest pool of CPU power. As long as a majority of CPU power is controlled by nodes that are not cooperating to attack the network, they'll generate the longest chain and outpace attackers. The network itself requires minimal structure. Messages are broadcast on a best effort basis, and nodes can leave and rejoin the network at will, accepting the longest proof-of-work chain as proof of what happened while they were gone.","","2025-06-24 08:57:04","2025-06-24 08:57:04","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\ttft3\Zotero\storage\9KAF4SR4\Nakamoto - Bitcoin A Peer-to-Peer Electronic Cash System.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GXSXUJB","preprint","2015","He, Kaiming; Zhang, Xiangyu; Ren, Shaoqing; Sun, Jian","Deep Residual Learning for Image Recognition","","","","10.48550/arXiv.1512.03385","http://arxiv.org/abs/1512.03385","Deeper neural networks are more difficult to train. We present a residual learning framework to ease the training of networks that are substantially deeper than those used previously. We explicitly reformulate the layers as learning residual functions with reference to the layer inputs, instead of learning unreferenced functions. We provide comprehensive empirical evidence showing that these residual networks are easier to optimize, and can gain accuracy from considerably increased depth. On the ImageNet dataset we evaluate residual nets with a depth of up to 152 layers---8x deeper than VGG nets but still having lower complexity. An ensemble of these residual nets achieves 3.57% error on the ImageNet test set. This result won the 1st place on the ILSVRC 2015 classification task. We also present analysis on CIFAR-10 with 100 and 1000 layers. The depth of representations is of central importance for many visual recognition tasks. Solely due to our extremely deep representations, we obtain a 28% relative improvement on the COCO object detection dataset. Deep residual nets are foundations of our submissions to ILSVRC & COCO 2015 competitions, where we also won the 1st places on the tasks of ImageNet detection, ImageNet localization, COCO detection, and COCO segmentation.","2015-12-10","2025-06-24 08:56:03","2025-06-24 08:56:03","2025-06-24 08:56:03","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1512.03385 [cs]","Comment: Tech report","C:\Users\ttft3\Zotero\storage\UD9K62Q6\He 等 - 2015 - Deep Residual Learning for Image Recognition.pdf; C:\Users\ttft3\Zotero\storage\8J92S53K\1512.html","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:1512.03385","","","","","","","","","","","","","","","","","","","","","","","","","","",""
